Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Rating,Length,Rating Code
2023-03-18,China Doll,V0,,https://www.mountainproject.com/route/106617251/china-doll,4,California > Sierra Eastside > Bishop Area > Volcanic Tablelands (Happy/Sad Boulders) > Sad Boulders > Molly Area,3.3,3,Send,,Boulder,,18.0,20008
2023-03-15,Pumping Groundwater,5.12a,"Laps - rest of the gorge was wet. Felt easy. 1 mistake at crux first go. didn’t get foot high enough to make big move to crimp. Absolutely cruised the rest

Gassed on the last go. Rest went well",https://www.mountainproject.com/route/105936323/pumping-groundwater,4,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Penstock Rock,3.4,3,TR,,Sport,5.12a,90.0,6600
2023-03-13,High Sobriety Variation,5.11a PG13,,https://www.mountainproject.com/route/118620808/high-sobriety-variation,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Pub Wall,3.2,2,TR,,Sport,,90.0,4600
2023-03-13,Hardly Wallbanger,5.10c,,https://www.mountainproject.com/route/105880587/hardly-wallbanger,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Pub Wall,3.6,3,Lead,Redpoint,Sport,,90.0,3200
2023-03-13,Hungover,5.11b,Fun!,https://www.mountainproject.com/route/105880594/hungover,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Pub Wall,3.4,3,Lead,Onsight,Sport,,80.0,4900
2023-03-13,Flashflood,5.12b,"Through the move off the flat ledge to side pull on the day flash. Then fell off the sidepull. Beta in notes.

2nd go I was tired, just scoped the moves!",https://www.mountainproject.com/route/105843315/flashflood,2,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Penstock Rock,3.9,4,Lead,Fell/Hung,Sport,5.12b,80.0,6900
2023-03-09,The Clapper,V6,:),https://www.mountainproject.com/route/106330624/the-clapper,1,California > Sierra Eastside > Bishop Area > Volcanic Tablelands (Happy/Sad Boulders) > Happy Boulders > West Rim Area > Clapper Area > Clapper Boulder,3.2,3,Send,,Boulder,,12.0,20600
2023-03-09,Beer Tumor,V3,,https://www.mountainproject.com/route/106275477/beer-tumor,1,California > Sierra Eastside > Bishop Area > Volcanic Tablelands (Happy/Sad Boulders) > Happy Boulders > Jesus Chrysler Area > Headbangers Cave,2.6,2,Send,,Boulder,,10.0,20300
2023-03-09,The Flying Zebra,V4,Wayyy better than serengeti,https://www.mountainproject.com/route/107006182/the-flying-zebra,1,California > Sierra Eastside > Bishop Area > Volcanic Tablelands (Happy/Sad Boulders) > Happy Boulders > Serengeti Area > Serengeti Boulder,3.4,3,Send,,Boulder,,,20400
2023-03-08,Dusk 'til Dawn,5.10d,I thought this was terrible. Ledge fall potential almost the whole way ,https://www.mountainproject.com/route/112822838/dusk-til-dawn,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,2.8,1,Lead,Onsight,Sport,,90.0,3500
2023-03-08,Diamond in the Tuff,5.11a,Just p1,https://www.mountainproject.com/route/112528134/diamond-in-the-tuff,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,2.6,-1,Lead,Onsight,Sport,,140.0,4600
2023-03-08,Daughters of a Coral Dawn,5.11a,,https://www.mountainproject.com/route/114085356/daughters-of-a-coral-dawn,3,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,3.0,2,TR,,Sport,,80.0,4600
2023-03-08,Daughters of a Coral Dawn,5.11a,,https://www.mountainproject.com/route/114085356/daughters-of-a-coral-dawn,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,3.0,2,Lead,Onsight,Sport,,80.0,4600
2023-03-08,Shadow Plan,5.10b,,https://www.mountainproject.com/route/112528203/shadow-plan,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,2.7,2,TR,,Sport,,70.0,2900
2023-03-08,Shadow Plan,5.10b,,https://www.mountainproject.com/route/112528203/shadow-plan,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,2.7,2,Lead,Redpoint,Sport,,70.0,2900
2023-03-08,Finked,5.7,,https://www.mountainproject.com/route/112528173/finked,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,2.8,2,TR,,Sport,,80.0,1800
2023-03-08,Chewy the Beaver,5.8+,,https://www.mountainproject.com/route/112528187/chewy-the-beaver,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,2.5,2,TR,,Sport,,105.0,2200
2023-03-08,Chukars Gonna Chuk,5.9,,https://www.mountainproject.com/route/118141284/chukars-gonna-chuk,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,1.8,1,TR,,Sport,5.7,60.0,2400
2023-03-08,Chukars Gonna Chuk,5.9,,https://www.mountainproject.com/route/118141284/chukars-gonna-chuk,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamondback Area,1.8,1,Lead,Redpoint,Sport,5.7,60.0,2400
2023-03-06,Love Crack,5.9,,https://www.mountainproject.com/route/114117043/love-crack,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,2.4,2,Lead,Redpoint,Sport,,125.0,2400
2023-03-06,Love Stinks,5.11a,,https://www.mountainproject.com/route/105896599/love-stinks,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,3.6,2,TR,,Sport,,115.0,4600
2023-03-06,Love Stinks,5.11a,,https://www.mountainproject.com/route/105896599/love-stinks,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,3.6,2,Lead,Redpoint,Sport,,115.0,4600
2023-03-06,Rim Job (1st Anchor),5.11b,"Messed up beta, pulled roped and IMMEDIATELY led. Got bricked haha",https://www.mountainproject.com/route/118592305/rim-job-1st-anchor,2,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,2.8,2,Lead,Fell/Hung,Sport,,115.0,4900
2023-03-06,Pocket Dance,5.10c,,https://www.mountainproject.com/route/107494500/pocket-dance,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,3.6,3,Lead,Redpoint,Sport,,115.0,3200
2023-03-06,Nuke the Whales,5.9,,https://www.mountainproject.com/route/105895883/nuke-the-whales,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,2.5,2,Lead,Redpoint,Sport,,80.0,2400
2023-03-06,Wedge-O,5.10b,,https://www.mountainproject.com/route/105896614/wedge-o,1,California > Sierra Eastside > Bishop Area > Owens River Gorge > Central Gorge > Banana Belt,2.9,1,Lead,Redpoint,Sport,,90.0,2900
2023-02-19,Bolt From the Blue Start,5.11b,,https://www.mountainproject.com/route/115351773/bolt-from-the-blue-start,1,Oregon > Central Oregon > Smith Rock > (c) Shipwreck Wall > Shipwreck Wall - East Face,2.6,2,Lead,Flash,Sport,5.11b,60.0,4900
2023-02-19,Bolt From the Blue,5.12a,Quick fitness lap. Through crux then fall. Beta refined!,https://www.mountainproject.com/route/106784951/bolt-from-the-blue,1,Oregon > Central Oregon > Smith Rock > (c) Shipwreck Wall > Shipwreck Wall - East Face,3.7,3,TR,,Sport,,110.0,6600
2023-02-19,Bolt From the Blue,5.12a,"Fell at true crux and “pump crux”

2 stars for the lower half. 5 stars for the upper! Averages out to 3.5 for the total package, but the top is excellent. I’m getting itchy fingers thinking about that head wall ",https://www.mountainproject.com/route/106784951/bolt-from-the-blue,1,Oregon > Central Oregon > Smith Rock > (c) Shipwreck Wall > Shipwreck Wall - East Face,3.7,3,Lead,Fell/Hung,Sport,,110.0,6600
2023-02-19,Fish N' Chips,5.10c,Tronsight + another lap,https://www.mountainproject.com/route/106678821/fish-n-chips,2,Oregon > Central Oregon > Smith Rock > (c) Shipwreck Wall > Shipwreck Wall - East Face,3.4,2,TR,,Sport,,70.0,3200
2023-02-12,Unimpeachable Groping,5.10b,Pure type 1 fun with haigh,https://www.mountainproject.com/route/105732431/unimpeachable-groping,7,Nevada > Southern Nevada > Red Rocks > 11-Juniper Canyon > Ginger Buttress,3.5,4,Lead,Onsight,Sport,,760.0,2900
2023-02-11,Levitation 29,5.11b/c,"No falls day, just the good pitches. 7.5 hours car to car with haigh :)

Crux Beta: R hand jam in top of crack, high right foot jam below hand. Left hand gaston, right fist jam. Left fist jam & set, right hand gaston crimp right of fist crack. High feet, left hand fingerlock, left hand fingerlock",https://www.mountainproject.com/route/105732443/levitation-29,6,Nevada > Southern Nevada > Red Rocks > 12-Oak Creek Canyon > Eagle Wall,3.8,4,Lead,Redpoint,Trad,5.11c,700.0,5100
2023-02-09,Beulah's Book,5.9,Follow hans w/ amber,https://www.mountainproject.com/route/105732413/beulahs-book,3,Nevada > Southern Nevada > Red Rocks > 12-Oak Creek Canyon > Solar Slab - Lower Tier,3.0,3,Follow,,Trad,,550.0,2400
